date,tag,peak_right,peak_left
2025-01-12 10:55,Max,99.75578433794425,119.94677162356132
2025-01-12 10:55,Max,94.63217960626014,112.1013732970813
2024-11-17 11:07,Max,111.86331233629508,89.64047681080986
2024-11-17 11:07,Max,106.01043723987517,75.23817974675063
2024-11-17 11:07,Max,88.67321277,74.87838450089782
2025-03-20 20:29,Curl,57.68674498002853,54.212137315416065
2025-03-20 20:29,Curl,57.00109291370365,52.64796738936855
2024-12-22 12:15,Max,109.9525676339025,108.82050185754218
2024-12-22 12:15,Max,119.03174188828659,107.25804756494225
2024-12-22 12:15,Max,114.41608239663375,43.54596427717354
2024-12-22 12:15,Max,,43.93186406332664
2024-12-22 12:15,Max,,113.17049887382584
2025-02-09 17:56,Max,141.53242593259947,124.84271011475921
2025-02-09 17:56,Max,138.6394894914405,129.9667017049658
2024-10-27 11:23,Max,114.75085798804282,107.73363124857032
2024-10-27 11:23,Max,108.66390825561194,106.4957092065013
2024-10-27 11:23,Max,99.49584064073363,99.09602235773872
2024-12-12 20:44,Max,122.25545918611152,98.32311266967231
2024-12-12 20:44,Max,120.12666083651985,98.93550971077629
2024-12-12 20:44,Max,119.08591890137114,90.56175515221962
2025-04-13 10:41,Curl,86.43019864165755,82.02258493542632
2025-04-13 10:41,Curl,79.45433212422012,79.32580258510627
2025-02-17 19:23,Max,119.71958475124427,113.71198306576355
2025-02-17 19:23,Max,42.69441297945892,103.30873505834518
2025-02-17 19:23,Max,108.61137118626404,
2024-10-10 20:39,Max,98.05073062996681,101.52064132751815
2024-10-10 20:39,Max,103.87280001404136,97.85137234
2024-10-10 20:39,Max,101.00950029969238,103.95450285199799
2025-06-08 11:30,Max,149.85309677389603,132.86527282460457
2025-06-08 11:30,Max,99.17990337737632,109.00970090494414
2025-03-20 20:21,Curl,55.34107458372493,54.67708238967563
2025-03-20 20:21,Curl,55.30307834884197,52.30123282363376
2024-10-10 20:17,Max,98.03032804788933,99.72177442783652
2024-10-10 20:17,Max,101.01543773701583,99.87485266319283
2024-10-10 20:17,Max,98.73958268907012,99.02619439442901
2024-10-27 11:30,Max,98.24634648,103.22992524933936
2024-10-27 11:30,Max,98.86499213010039,97.44194146508346
2024-10-27 11:30,Max,88.70441374586662,96.25444559042441
2025-02-13 19:47,Max,136.23104288989478,121.10987018139976
2025-02-13 19:47,Max,131.4633984587101,115.99041156388061
2024-12-15 11:24,Max,112.30285089758841,103.46869264742752
2024-12-15 11:24,Max,93.89791372060348,93.97398188008033
2024-12-15 11:24,Max,83.34400113861045,92.55788625850036
2024-11-01 19:29,Max,102.64629870835373,113.92236682225585
2024-11-01 19:29,Max,101.00762487685508,40.66874186
2024-11-01 19:29,Max,99.50216493657959,109.17184508567534
2024-11-01 19:29,Max,,100.22049393310317
2025-01-12 11:02,Max,105.15208227814544,116.16569211444076
2025-01-12 11:02,Max,100.7982503165084,116.46036056902892
2025-03-02 11:37,Max,127.83087262222625,135.77962945395453
2025-03-02 11:37,Max,127.22215914705383,84.37560143867331
2025-03-13 20:18,Max,136.30304903488548,140.07888913401663
2025-03-13 20:18,Max,66.11732989653598,43.25505087
2025-03-13 20:18,Max,,58.41257567
2024-12-08 15:05,Max,110.17397685828583,104.63077359915245
2024-12-08 15:05,Max,108.5658649,106.18447311518905
2024-12-08 15:05,Max,106.52299114230483,90.22386787269485
2024-10-03 20:18,Max,101.96041536791213,97.12523048468117
2024-10-03 20:18,Max,87.03368111680847,97.97669768271697
2024-10-03 20:18,Max,79.74086813986808,88.50528252639808
2024-10-03 20:18,Max,79.59536729,74.53368514739006
2024-10-27 11:40,Max,107.55185820280661,111.40806395500144
2024-10-27 11:40,Max,101.30564890862746,37.76516681047131
2024-10-27 11:40,Max,100.74423309281356,105.16053429586509
2024-10-27 11:40,Max,,97.6739052
2024-10-16 20:24,Max,113.04009391187469,112.11927811869835
2024-10-16 20:24,Max,109.61646326756835,113.53365810683074
2024-10-16 20:24,Max,105.26623077218406,105.02723630496314
2024-10-06 11:16,Max,108.66343729741065,105.05115425361457
2024-10-06 11:16,Max,101.95182038073852,100.30735208137038
2024-10-06 11:16,Max,91.91366589893752,91.25319748143005
2024-12-12 20:30,Max,118.24508190273598,112.87481281312415
2024-12-12 20:30,Max,118.95488319182898,43.54963943
2024-12-12 20:30,Max,117.58420980677025,108.11006141089027
2024-12-12 20:30,Max,,110.50975323587264
2025-02-06 19:35,Max,134.23609758908515,132.0831458117414
2025-02-06 19:35,Max,116.79732275208686,129.69839008971434
2025-02-02 11:09,Max,113.22694657823806,117.77669715161338
2025-02-02 11:09,Max,111.1651588527162,104.98243640606506
2025-03-09 11:10,Max,135.90088437085197,123.57328433301078
2025-03-09 11:10,Max,127.97277401026969,85.54245084218635
2025-03-02 11:27,Max,144.2296035514099,116.94985433953094
2025-03-02 11:27,Max,132.12434624438674,109.40951918793907
2025-04-06 10:49,Max,84.12893708074562,76.65935498893027
2025-04-06 10:49,Max,84.97486210994835,80.03537680506652
2025-03-16 11:06,Max,102.63910818581611,102.89530944732002
2025-03-16 11:06,Max,97.50065145085547,94.67502839261002
2024-11-01 19:39,Max,105.90387453686454,109.12931587810493
2024-11-01 19:39,Max,41.200449465275724,106.88184447175506
2024-11-01 19:39,Max,97.81384706468383,106.73400564638816
2024-11-01 19:39,Max,99.95608454294815,
2024-10-16 20:09,Max,123.11568957067855,114.40099491425659
2024-10-16 20:09,Max,113.54866148952911,110.61952854661354
2024-10-16 20:09,Max,112.1329611364395,108.34320254046654
2025-03-23 10:48,Curl,66.30996862080097,71.35773646712494
2025-03-23 10:48,Curl,66.96153088232326,67.19005493953327
2024-11-01 19:17,Max,109.63851420335037,114.23017164667297
2024-11-01 19:17,Max,97.99631814,112.71095299894539
2024-11-01 19:17,Max,96.03576960560218,110.18351376186202
2025-02-13 19:34,Max,136.19508186723883,95.43823297774262
2025-02-13 19:34,Max,137.76269147014938,130.62177933306205
2025-02-06 19:31,Max,133.51839934015257,130.99900844233062
2025-02-06 19:31,Max,139.70354385755326,95.88370898
2024-10-10 20:29,Max,105.02347704932068,98.05628120876777
2024-10-10 20:29,Max,97.97098731452628,94.93388720396408
2024-10-10 20:29,Max,99.91590171641631,94.21445650164817
2024-11-17 11:13,Max,117.4299625858786,85.55042349173682
2024-11-17 11:13,Max,107.76739726960952,78.37738527734695
2024-11-17 11:13,Max,98.00413940791023,69.57926794453685
2025-04-13 10:55,Curl,87.71815999261405,90.59647990959716
2025-04-13 10:55,Curl,89.69410718,90.38343019328681
2025-03-16 11:23,Curl,84.89378160961486,96.34216155541542
2025-03-16 11:23,Curl,77.59401358923752,89.20883520935607
2025-03-09 10:50,Max,154.10732948592727,142.58740594336945
2025-03-09 10:50,Max,87.18832360619048,131.52805429177346
2024-10-06 10:51,Max,117.60016351583907,109.22039583024802
2024-10-06 10:51,Max,108.34633104851798,93.30349719082749
2024-10-06 10:51,Max,97.60956053,94.03238069704078
2024-10-06 10:51,Max,83.64531346782401,83.14526518763229
2024-11-24 11:09,Max,121.86306690475486,69.03973907
2024-11-24 11:09,Max,122.24921057997649,75.26859019060562
2024-11-24 11:09,Max,117.1489771490316,77.29371886613747
2025-01-12 10:52,Max,103.71425529956291,120.85186918676948
2025-01-12 10:52,Max,93.92057858404075,116.87878170097495
2025-03-23 11:01,Max,143.08214753382873,138.71869456893668
2025-03-23 11:01,Max,136.72788697232414,133.59063255427603
2025-06-05 20:34,Max,106.85385609864959,126.50023068427748
2025-06-05 20:34,Max,112.1056707906681,121.29414939759178
2024-11-24 11:23,Max,112.98262860134895,119.87390766184684
2024-11-24 11:23,Max,110.89058181139396,38.87510596133869
2024-11-24 11:23,Max,108.13445872771086,109.9687484121041
2024-11-24 11:23,Max,,108.51215038521285
2025-01-12 10:45,Max,106.91460129664863,122.99020443993736
2025-01-12 10:45,Max,36.268941014928316,113.315369
2025-01-12 10:45,Max,96.91382071210747,
2025-02-09 17:51,Max,134.13437902757354,132.92664036022674
2025-02-09 17:51,Max,119.57627048859695,126.39812526424339
2024-12-12 20:54,Max,119.59823732470015,65.61751709544491
2024-12-12 20:54,Max,105.0665529048033,80.96619205005248
2024-12-12 20:54,Max,102.65106716014182,84.26105767614433
2024-12-12 20:54,Max,,89.62358118533844
2025-01-05 10:54,Max,116.57889065633316,111.33621759940047
2025-01-05 10:54,Max,117.78397177382979,38.21455764913635
2025-01-05 10:54,Max,44.33153096689971,36.40372336516113
2025-01-05 10:54,Max,115.29335137612617,112.04203256371825
2025-01-05 10:54,Max,,35.52238816619862
2025-01-05 10:54,Max,,111.55832485111785
2024-12-22 12:18,Max,124.79275490555052,94.97172364945732
2024-12-22 12:18,Max,112.54028111078361,99.41046264681334
2024-12-22 12:18,Max,106.57920336761642,91.87246546629218
2025-04-18 12:36,Curl,119.01977450399299,107.25766070641974
2025-04-18 12:36,Curl,98.28887569043182,104.02861989892662
2025-06-12 20:25,Max,122.5472262,105.68144770636772
2025-06-12 20:25,Max,133.66748284076576,104.21421948007583
2024-11-24 11:07,Max,109.30357882255157,122.49806152955307
2024-11-24 11:07,Max,105.76619495269698,35.33952182461048
2024-11-24 11:07,Max,102.19910707628937,114.58682997450644
2024-11-24 11:07,Max,,95.00307600971489
2025-02-09 17:48,Max,131.64728240641173,124.35392278155913
2025-02-09 17:48,Max,120.93247872890167,122.13740846697647
2024-10-13 11:40,Max,114.22540319488486,108.53209041905693
2024-10-13 11:40,Max,106.61751077131095,104.12173506329673
2024-10-13 11:40,Max,102.26767354441704,100.05263938418129
2025-01-05 10:47,Max,128.68233982026206,93.18301599097504
2025-01-05 10:47,Max,114.4998120368495,101.02700985281905
2025-01-05 10:47,Max,107.90569919140022,85.35622892
2024-12-05 19:57,Max,117.95080871663818,114.73154029182189
2024-12-05 19:57,Max,41.10600552598053,109.70308593673492
2024-12-05 19:57,Max,119.19998329573096,107.84159000624908
2024-12-05 19:57,Max,111.29555540469947,
2025-04-13 11:02,Max,147.80903726066572,143.14170692635665
2025-04-13 11:02,Max,144.5052654785887,137.3956384220159
2024-10-10 20:23,Max,102.97363988815665,102.84167067217979
2024-10-10 20:23,Max,96.63503028,100.29319810542793
2024-10-10 20:23,Max,94.77924471458205,36.18661583934856
2024-10-10 20:23,Max,,88.31827007064499
2024-11-14 19:55,Max,108.42380367263084,109.5122469455963
2024-11-14 19:55,Max,105.50757162044357,105.83374381471114
2024-11-14 19:55,Max,96.23645666912857,95.77503537141082
2025-03-27 20:25,Max,136.49467856300484,120.97008810526214
2025-03-27 20:25,Max,49.65191213,117.85378291720374
2025-03-27 20:25,Max,131.8335968348308,
2025-02-02 10:54,Max,111.82602253871406,89.94053605480926
2025-02-02 10:54,Max,103.11124378261329,93.62755848315712
2024-10-16 20:03,Max,110.23182902733406,115.12627895421714
2024-10-16 20:03,Max,99.58253899961112,107.0679907008165
2024-10-16 20:03,Max,94.94873920724059,101.83720933846648
2025-01-16 21:17,Curl,70.82454450351715,73.49755187463974
2025-01-16 21:17,Curl,75.94900705192505,65.91640314892501
2024-12-15 11:29,Max,110.67605194073668,108.55257710081321
2024-12-15 11:29,Max,45.18057188920208,114.06348608328643
2024-12-15 11:29,Max,111.43159504513038,103.0049165587033
2024-12-15 11:29,Max,108.9288642936792,
2024-12-12 20:39,Max,118.42638399029838,118.90398606621773
2024-12-12 20:39,Max,119.52224485493423,112.84658896091804
2024-12-12 20:39,Max,115.62569648681784,45.27486024409149
2024-12-12 20:39,Max,,108.95160484682738
2025-02-20 20:18,Max,121.48584620545417,128.94690899980682
2025-02-20 20:18,Max,78.83450908147789,43.46699888376194
2025-02-20 20:18,Max,127.81304349032013,114.37753951383857
2024-10-13 11:27,Max,111.06915065939529,110.25754670911185
2024-10-13 11:27,Max,110.19930768154113,96.68952686874123
2024-10-13 11:27,Max,98.50473433601417,95.28546591119789
2024-12-19 21:29,Max,120.06451117388481,77.53600163079956
2024-12-19 21:29,Max,107.46538691306189,
2024-12-19 21:29,Max,101.56747643864325,
2025-03-27 20:29,Curl,113.79188617059378,104.72427562204506
2025-03-27 20:29,Curl,96.29314826260932,99.53375278
2024-10-03 20:02,Max,98.77922727765761,91.39619216529792
2024-10-03 20:02,Max,82.95731922544448,89.21157685888504
